field,src,dst,p_src,p_dst,proto,attack,length [packet],length [bit]
ID,162.129.45.135,163.62.183.61,443,49961,6,"http://ctic.icagi.sn/quiaofficia/aperiamsaepe-5311223
",27,432
ID,163.62.106.146,51.192.244.97,34456,443,6,"http://difi.in/pariaturlaboriosam/consequaturnihil-5062517
",30,472
ID,133.4.85.250,185.129.212.29,443,6080,6,"http://39.81.253.203:46554/Mozi.m
",17,272
ID,149.232.0.5,203.139.118.207,179,20074,6,"http://adoxarabia.com/rerumvero/atest-5311223
",23,368
ID,163.62.126.162,47.27.16.97,63016,443,6,"http://bwb.fun/optioperspiciatis/utsint-5014573
",24,384
ID,163.62.128.220,99.47.21.157,50093,443,6,"http://bwb.fun/optioperspiciatis/teneturveniam-5137993
",28,440
ID,163.62.129.254,103.110.204.140,63745,8889,6,"http://ctic.icagi.sn/quiaofficia/officiaprovident-4562411
",29,464
ID,163.62.128.112,54.186.186.67,4190,443,6,"http://brsbnp.com/eosmaxime/dictaeveniet-5264707
",25,392
ID,163.62.129.56,54.150.120.136,64643,443,6,"http://difi.in/pariaturlaboriosam/impeditautem-5014573
",28,440
ID,163.62.139.80,52.6.59.118,56048,443,6,"http://ctic.icagi.sn/quiaofficia/veroquas-5230868
",25,400
ID,163.62.183.61,162.129.45.135,49961,443,6,"http://ctic.icagi.sn/quiaofficia/harumeveniet-5159951
",27,432
ID,163.62.199.62,13.17.177.164,51219,443,6,"http://ctic.icagi.sn/quiaofficia/adipisciqui-5003407
",27,424
ID,163.62.216.246,223.0.148.122,28646,6003,6,"http://bwb.fun/optioperspiciatis/verout-5159950
",24,384
ID,163.62.226.112,221.6.179.76,22,60647,6,"http://brsbnp.com/eosmaxime/quaeratculpa-5062517
",25,392
ID,163.62.227.184,185.129.212.24,443,13978,6,"http://brsbnp.com/eosmaxime/etconsectetur-5163373
",25,400
ID,163.62.227.184,54.35.136.204,443,61314,6,"http://bwb.fun/optioperspiciatis/laboriosamaut-5148558
",28,440
ID,163.62.227.184,54.35.136.204,443,64534,6,"http://adoxarabia.com/rerumvero/laudantiumillum-5264532
",28,448
ID,163.62.227.184,185.129.212.26,443,2128,6,"http://ctic.icagi.sn/quiaofficia/utut-5159952
",23,368
ID,163.62.227.184,54.35.136.209,443,34210,6,"http://difi.in/pariaturlaboriosam/faceretenetur-5177555
",28,448
ID,163.62.227.184,54.35.136.67,443,56218,6,"http://bwb.fun/optioperspiciatis/estrerum-5163376
",25,400
ID,133.4.85.250,185.129.212.62,443,24626,6,"http://115.50.107.41:34730/mozi.m
",17,272
ID,149.232.2.133,203.139.118.207,179,30117,6,"http://59.97.175.125:43679/Mozi.m
",17,272
ID,157.242.113.82,202.249.38.118,47564,22,6,"http://27.221.188.108:43877/Mozi.a
",18,280
ID,163.62.227.184,54.35.137.138,443,51326,6,"http://difi.in/pariaturlaboriosam/nihilet-4614002
",25,400
ID,163.62.23.51,223.0.148.122,63830,6003,6,"http://brsbnp.com/eosmaxime/voluptatumtemporibus-5163372
",29,456
ID,163.62.23.79,52.221.21.158,54719,443,6,"http://brsbnp.com/eosmaxime/perferendisquo-5179208
",26,408
ID,163.62.38.66,121.20.245.187,63008,443,6,"http://difi.in/pariaturlaboriosam/quieligendi-4762260
",27,432
ID,163.62.38.66,180.150.215.227,62990,443,6,"http://ctic.icagi.sn/quiaofficia/cumanimi-5292470
",25,400
ID,157.242.113.82,203.139.117.157,45854,22,6,"http://222.168.193.77:35768/Mozi.m
",18,280
ID,163.62.38.66,180.160.22.11,63019,443,6,"http://brsbnp.com/eosmaxime/maximerepellendus-5137993
",27,432
ID,163.62.38.66,180.160.22.11,63020,443,6,"http://brsbnp.com/eosmaxime/veritatistemporibus-5292470
",28,448
ID,163.62.38.66,180.160.22.11,63021,443,6,"http://brsbnp.com/eosmaxime/nequemollitia-5163378
",25,400
ID,162.129.45.135,203.139.113.148,443,64883,6,"http://brsbnp.com/eosmaxime/etet-5163374
",21,328
ID,163.62.38.66,180.160.22.11,63022,443,6,"http://bwb.fun/optioperspiciatis/impeditodit-5138013
",27,424
ID,163.62.45.230,38.186.29.184,51025,80,6,"http://adoxarabia.com/rerumvero/oditet-5001788
",24,376
ID,163.62.58.177,52.107.216.190,59345,443,6,"http://ctic.icagi.sn/quiaofficia/eosodit-5264707
",25,392
ID,163.62.58.177,52.107.216.190,59353,443,6,"http://ctic.icagi.sn/quiaofficia/consequaturdignissimos-5087927
",32,512
ID,151.146.157.70,163.62.128.112,443,4194,6,"http://182.127.4.196:43654/Mozi.m
",17,272
ID,163.62.126.162,110.191.2.109,63012,443,6,"http://217.132.52.146:58300/Mozi.m
",18,280
