field,src,dst,p_src,p_dst,proto,attack,length [packet],length [bit]
TIMING,203.139.118.176,13.172.149.174,80,35777,6,"http://42.233.156.115:36055/Mozi.m
",281,281
TIMING,203.139.121.234,34.197.24.25,30303,58528,6,"http://brsbnp.com/eosmaxime/expeditaullam-5177555
",401,401
TIMING,203.139.121.234,35.175.145.214,30303,36392,6,"http://ctic.icagi.sn/quiaofficia/omnisquis-4614002
",409,409
TIMING,203.139.121.234,35.87.248.71,30303,35534,6,"http://adoxarabia.com/rerumvero/rerumdistinctio-4762260
",449,449
TIMING,203.139.121.234,38.187.106.116,30303,53094,6,"http://adoxarabia.com/rerumvero/placeatsunt-4566633
",417,417
TIMING,203.139.121.234,47.3.179.31,38762,26915,6,"http://ctic.icagi.sn/quiaofficia/exercitationemmolestias-5163373
",521,521
TIMING,203.139.121.234,47.4.252.113,30303,39398,6,"http://ctic.icagi.sn/quiaofficia/aperiamsaepe-5311223
",433,433
TIMING,203.139.121.234,47.9.70.174,57654,30303,6,"http://difi.in/pariaturlaboriosam/consequaturnihil-5062517
",473,473
TIMING,203.139.118.176,13.172.149.174,80,35776,6,"http://39.81.253.203:46554/Mozi.m
",273,273
TIMING,203.139.121.234,51.44.42.169,46420,30303,6,"http://adoxarabia.com/rerumvero/atest-5311223
",369,369
TIMING,203.139.121.234,51.87.158.226,48656,30303,6,"http://bwb.fun/optioperspiciatis/utsint-5014573
",385,385
TIMING,203.139.121.234,51.95.40.217,44972,30303,6,"http://bwb.fun/optioperspiciatis/teneturveniam-5137993
",441,441
TIMING,203.139.121.234,54.169.17.45,30303,34338,6,"http://ctic.icagi.sn/quiaofficia/officiaprovident-4562411
",465,465
TIMING,203.139.121.234,54.182.72.103,30303,58004,6,"http://brsbnp.com/eosmaxime/dictaeveniet-5264707
",393,393
TIMING,203.139.121.234,58.243.123.234,30303,55354,6,"http://difi.in/pariaturlaboriosam/impeditautem-5014573
",441,441
TIMING,203.139.121.234,80.165.80.205,30303,18670,6,"http://ctic.icagi.sn/quiaofficia/veroquas-5230868
",401,401
TIMING,203.139.121.234,85.33.223.224,30303,46308,6,"http://ctic.icagi.sn/quiaofficia/harumeveniet-5159951
",433,433
TIMING,203.139.121.234,90.51.35.191,43618,30303,6,"http://ctic.icagi.sn/quiaofficia/adipisciqui-5003407
",425,425
TIMING,203.139.121.234,92.98.136.95,35586,30303,6,"http://bwb.fun/optioperspiciatis/verout-5159950
",385,385
TIMING,203.139.121.234,95.198.27.64,30303,44850,6,"http://brsbnp.com/eosmaxime/quaeratculpa-5062517
",393,393
TIMING,203.139.121.234,95.198.27.66,30303,46644,6,"http://brsbnp.com/eosmaxime/etconsectetur-5163373
",401,401
TIMING,203.139.121.234,95.198.27.68,30303,51138,6,"http://bwb.fun/optioperspiciatis/laboriosamaut-5148558
",441,441
TIMING,212.233.50.117,163.62.129.176,443,49964,6,"http://adoxarabia.com/rerumvero/laudantiumillum-5264532
",449,449
TIMING,23.99.194.242,203.139.121.234,41214,30303,6,"http://ctic.icagi.sn/quiaofficia/utut-5159952
",369,369
TIMING,3.122.172.169,203.139.121.234,30303,51322,6,"http://difi.in/pariaturlaboriosam/faceretenetur-5177555
",449,449
TIMING,3.240.154.34,203.139.121.234,44668,30303,6,"http://bwb.fun/optioperspiciatis/estrerum-5163376
",401,401
TIMING,223.0.148.122,163.62.23.51,6003,63830,6,"http://115.50.107.41:34730/mozi.m
",273,273
TIMING,34.197.24.25,203.139.121.234,58528,30303,6,"http://59.97.175.125:43679/Mozi.m
",273,273
TIMING,35.175.145.214,203.139.121.234,36392,30303,6,"http://27.221.188.108:43877/Mozi.a
",281,281
TIMING,35.87.248.71,203.139.121.234,35534,30303,6,"http://difi.in/pariaturlaboriosam/nihilet-4614002
",401,401
TIMING,38.187.106.116,203.139.121.234,53094,30303,6,"http://brsbnp.com/eosmaxime/voluptatumtemporibus-5163372
",457,457
TIMING,47.3.179.31,203.139.121.234,26915,38762,6,"http://brsbnp.com/eosmaxime/perferendisquo-5179208
",409,409
TIMING,47.4.252.113,203.139.121.234,39398,30303,6,"http://difi.in/pariaturlaboriosam/quieligendi-4762260
",433,433
TIMING,47.9.70.174,203.139.121.234,30303,57654,6,"http://ctic.icagi.sn/quiaofficia/cumanimi-5292470
",401,401
TIMING,51.44.42.169,203.139.121.234,30303,46420,6,"http://222.168.193.77:35768/Mozi.m
",281,281
TIMING,51.95.40.217,203.139.121.234,30303,44972,6,"http://brsbnp.com/eosmaxime/maximerepellendus-5137993
",433,433
TIMING,52.6.59.118,163.62.139.80,443,56048,6,"http://brsbnp.com/eosmaxime/veritatistemporibus-5292470
",449,449
TIMING,54.169.17.45,203.139.121.234,34338,30303,6,"http://brsbnp.com/eosmaxime/nequemollitia-5163378
",401,401
TIMING,54.182.72.103,203.139.121.234,58004,30303,6,"http://brsbnp.com/eosmaxime/etet-5163374
",329,329
TIMING,58.243.123.234,203.139.121.234,55354,30303,6,"http://bwb.fun/optioperspiciatis/impeditodit-5138013
",425,425
TIMING,85.33.223.224,203.139.121.234,46308,30303,6,"http://adoxarabia.com/rerumvero/oditet-5001788
",377,377
TIMING,89.168.39.139,203.139.118.176,873,56218,6,"http://ctic.icagi.sn/quiaofficia/eosodit-5264707
",393,393
TIMING,89.68.46.31,203.139.121.234,30303,41570,6,"http://ctic.icagi.sn/quiaofficia/consequaturdignissimos-5087927
",513,513
TIMING,90.51.35.191,203.139.121.234,30303,43618,6,"http://182.127.4.196:43654/Mozi.m
",273,273
TIMING,92.98.136.95,203.139.121.234,30303,35586,6,"http://217.132.52.146:58300/Mozi.m
",281,281
