field,src,dst,p_src,p_dst,proto,attack,length [packet],length [bit]
ID,144.196.129.176,203.139.121.234,41568,30303,6,"http://ctic.icagi.sn/quiaofficia/omnisquis-4614002
",26,408
ID,145.225.239.255,203.139.121.234,56944,30303,6,"http://adoxarabia.com/rerumvero/rerumdistinctio-4762260
",28,448
ID,149.68.91.28,163.62.80.93,443,49566,6,"http://adoxarabia.com/rerumvero/placeatsunt-4566633
",26,416
ID,150.110.154.89,203.139.121.234,60830,30303,6,"http://ctic.icagi.sn/quiaofficia/exercitationemmolestias-5163373
",33,520
ID,151.146.157.70,163.62.128.112,443,4201,6,"http://ctic.icagi.sn/quiaofficia/aperiamsaepe-5311223
",27,432
ID,151.146.157.70,163.62.128.112,443,4208,6,"http://difi.in/pariaturlaboriosam/consequaturnihil-5062517
",30,472
ID,133.4.179.137,150.158.33.243,22,43992,6,"http://39.81.253.203:46554/Mozi.m
",17,272
ID,157.236.202.192,203.139.121.234,30303,49428,6,"http://adoxarabia.com/rerumvero/atest-5311223
",23,368
ID,162.98.99.11,163.62.83.25,443,63494,6,"http://bwb.fun/optioperspiciatis/utsint-5014573
",24,384
ID,163.62.103.148,18.74.61.255,58527,443,6,"http://bwb.fun/optioperspiciatis/teneturveniam-5137993
",28,440
ID,163.62.106.146,51.192.145.71,45264,443,6,"http://ctic.icagi.sn/quiaofficia/officiaprovident-4562411
",29,464
ID,163.62.106.146,51.192.244.97,34456,443,6,"http://brsbnp.com/eosmaxime/dictaeveniet-5264707
",25,392
ID,163.62.128.112,54.186.186.67,4190,443,6,"http://difi.in/pariaturlaboriosam/impeditautem-5014573
",28,440
ID,163.62.129.254,103.110.204.140,63745,8889,6,"http://ctic.icagi.sn/quiaofficia/veroquas-5230868
",25,400
ID,163.62.183.36,40.126.186.153,51469,443,6,"http://ctic.icagi.sn/quiaofficia/harumeveniet-5159951
",27,432
ID,163.62.227.184,157.73.39.1,443,7090,6,"http://ctic.icagi.sn/quiaofficia/adipisciqui-5003407
",27,424
ID,163.62.183.36,40.81.159.97,51466,443,6,"http://bwb.fun/optioperspiciatis/verout-5159950
",24,384
ID,163.62.23.51,223.0.148.122,63830,6003,6,"http://brsbnp.com/eosmaxime/quaeratculpa-5062517
",25,392
ID,163.62.23.79,52.221.21.158,54719,443,6,"http://brsbnp.com/eosmaxime/etconsectetur-5163373
",25,400
ID,163.62.231.119,126.133.32.35,993,56618,6,"http://bwb.fun/optioperspiciatis/laboriosamaut-5148558
",28,440
