field,src,dst,p_src,p_dst,proto,attack,length [packet],length [bit]
TOS,163.62.23.51,223.0.148.122,63830,6003,6,"http://brsbnp.com/eosmaxime/expeditaullam-5177555
",50,400
TOS,163.62.23.79,52.221.21.158,54719,443,6,"http://ctic.icagi.sn/quiaofficia/omnisquis-4614002
",51,408
TOS,163.62.38.66,121.20.245.187,63006,443,6,"http://adoxarabia.com/rerumvero/rerumdistinctio-4762260
",56,448
TOS,163.62.38.66,121.20.245.187,63008,443,6,"http://adoxarabia.com/rerumvero/placeatsunt-4566633
",52,416
TOS,163.62.38.66,121.20.245.187,63043,443,6,"http://ctic.icagi.sn/quiaofficia/exercitationemmolestias-5163373
",65,520
TOS,163.62.38.66,121.20.245.187,63044,443,6,"http://ctic.icagi.sn/quiaofficia/aperiamsaepe-5311223
",54,432
TOS,163.62.38.66,180.160.22.11,63022,443,6,"http://difi.in/pariaturlaboriosam/consequaturnihil-5062517
",59,472
TOS,149.68.91.28,163.62.80.93,443,49566,6,"http://39.81.253.203:46554/Mozi.m
",34,272
TOS,163.62.231.119,126.133.32.35,993,56618,6,"http://adoxarabia.com/rerumvero/atest-5311223
",46,368
TOS,163.62.38.66,180.160.22.11,63021,443,6,"http://bwb.fun/optioperspiciatis/utsint-5014573
",48,384
TOS,163.62.80.93,149.68.91.28,49566,443,6,"http://bwb.fun/optioperspiciatis/teneturveniam-5137993
",55,440
TOS,163.62.83.10,44.25.104.106,58836,443,6,"http://ctic.icagi.sn/quiaofficia/officiaprovident-4562411
",58,464
TOS,163.62.83.24,31.142.173.221,63133,443,6,"http://brsbnp.com/eosmaxime/dictaeveniet-5264707
",49,392
TOS,163.62.90.242,3.144.200.51,49896,2101,6,"http://difi.in/pariaturlaboriosam/impeditautem-5014573
",55,440
TOS,168.247.233.24,203.139.121.234,52874,30303,6,"http://ctic.icagi.sn/quiaofficia/veroquas-5230868
",50,400
TOS,17.248.249.77,163.62.44.75,443,59229,6,"http://ctic.icagi.sn/quiaofficia/harumeveniet-5159951
",54,432
TOS,17.248.254.14,203.139.127.241,443,55493,6,"http://ctic.icagi.sn/quiaofficia/adipisciqui-5003407
",53,424
TOS,17.248.254.14,203.139.127.241,443,55490,6,"http://bwb.fun/optioperspiciatis/verout-5159950
",48,384
TOS,17.248.254.87,163.62.78.211,443,50755,6,"http://brsbnp.com/eosmaxime/quaeratculpa-5062517
",49,392
TOS,174.200.239.33,203.139.121.234,30303,51702,6,"http://brsbnp.com/eosmaxime/etconsectetur-5163373
",50,400
TOS,18.26.229.200,203.139.121.234,30303,34958,6,"http://bwb.fun/optioperspiciatis/laboriosamaut-5148558
",55,440
TOS,180.160.22.11,163.62.38.66,443,63019,6,"http://adoxarabia.com/rerumvero/laudantiumillum-5264532
",56,448
TOS,180.160.22.11,163.62.38.66,443,63020,6,"http://ctic.icagi.sn/quiaofficia/utut-5159952
",46,368
TOS,180.160.22.11,163.62.38.66,443,63021,6,"http://difi.in/pariaturlaboriosam/faceretenetur-5177555
",56,448
TOS,180.160.22.11,163.62.38.66,443,63022,6,"http://bwb.fun/optioperspiciatis/estrerum-5163376
",50,400
TOS,163.62.106.146,51.192.244.97,34456,443,6,"http://115.50.107.41:34730/mozi.m
",34,272
TOS,163.62.38.66,121.20.245.187,63045,443,6,"http://59.97.175.125:43679/Mozi.m
",34,272
TOS,163.62.38.66,180.160.22.11,63019,443,6,"http://27.221.188.108:43877/Mozi.a
",35,280
TOS,185.178.223.119,203.139.121.234,56610,30303,6,"http://difi.in/pariaturlaboriosam/nihilet-4614002
",50,400
TOS,185.50.99.189,203.139.121.234,40828,30303,6,"http://brsbnp.com/eosmaxime/voluptatumtemporibus-5163372
",57,456
TOS,192.233.225.5,163.62.128.220,443,50571,6,"http://brsbnp.com/eosmaxime/perferendisquo-5179208
",51,408
TOS,192.233.225.5,163.62.83.3,443,63539,6,"http://difi.in/pariaturlaboriosam/quieligendi-4762260
",54,432
TOS,202.243.42.35,113.219.209.30,25,54764,6,"http://ctic.icagi.sn/quiaofficia/cumanimi-5292470
",50,400
TOS,163.62.80.93,149.68.91.28,49352,443,6,"http://222.168.193.77:35768/Mozi.m
",35,280
TOS,202.243.47.203,126.140.191.93,443,12982,6,"http://brsbnp.com/eosmaxime/maximerepellendus-5137993
",54,432
TOS,203.139.113.8,100.163.44.160,80,62112,6,"http://brsbnp.com/eosmaxime/veritatistemporibus-5292470
",56,448
TOS,203.139.118.176,202.164.237.32,80,60869,6,"http://brsbnp.com/eosmaxime/nequemollitia-5163378
",50,400
TOS,202.164.237.32,203.139.118.176,60869,80,6,"http://brsbnp.com/eosmaxime/etet-5163374
",41,328
TOS,203.139.118.176,58.48.198.40,80,30190,6,"http://bwb.fun/optioperspiciatis/impeditodit-5138013
",53,424
TOS,203.139.118.176,58.48.198.40,80,38447,6,"http://adoxarabia.com/rerumvero/oditet-5001788
",47,376
TOS,203.139.118.176,58.48.198.40,80,49708,6,"http://ctic.icagi.sn/quiaofficia/eosodit-5264707
",49,392
TOS,203.139.118.176,89.168.39.139,56218,873,6,"http://ctic.icagi.sn/quiaofficia/consequaturdignissimos-5087927
",64,512
TOS,18.74.61.255,163.62.103.148,443,58527,6,"http://182.127.4.196:43654/Mozi.m
",34,272
TOS,192.147.3.33,203.139.113.57,443,50852,6,"http://217.132.52.146:58300/Mozi.m
",35,280
